timestamp,clearsight,incident_management
2025-07-22 20:46:11,already_awake,already_awake
2025-07-23 06:43:13,already_awake,already_awake
2025-07-23 17:59:56,already_awake,already_awake
2025-07-24 06:42:21,already_awake,already_awake
2025-07-24 18:00:06,already_awake,already_awake
2025-07-25 06:41:41,already_awake,already_awake
2025-07-25 17:58:55,already_awake,already_awake
2025-07-26 06:40:25,already_awake,already_awake
2025-07-26 17:56:43,already_awake,already_awake
2025-07-27 06:48:44,already_awake,clicked
2025-07-27 17:57:26,already_awake,already_awake
2025-07-28 06:47:08,already_awake,already_awake
2025-07-28 18:00:28,already_awake,already_awake
2025-07-29 06:50:30,clicked,clicked
2025-07-29 18:01:06,already_awake,already_awake
2025-07-30 06:43:56,already_awake,already_awake
2025-07-30 18:01:03,already_awake,already_awake
2025-07-31 06:43:25,already_awake,already_awake
2025-07-31 17:58:49,already_awake,already_awake
2025-08-01 06:50:49,clicked,already_awake
2025-08-01 17:59:38,already_awake,clicked
2025-08-02 06:40:07,already_awake,already_awake
2025-08-02 17:57:04,already_awake,already_awake
2025-08-03 06:49:52,already_awake,clicked
2025-08-03 17:57:48,already_awake,already_awake
2025-08-04 06:48:31,already_awake,clicked
2025-08-04 18:01:44,clicked,already_awake
2025-08-05 06:45:17,already_awake,clicked
2025-08-05 18:01:31,already_awake,already_awake
2025-08-06 06:43:55,already_awake,already_awake
2025-08-06 18:00:59,already_awake,already_awake
2025-08-07 06:44:08,already_awake,already_awake
2025-08-07 18:01:06,already_awake,already_awake
2025-08-08 06:43:57,already_awake,already_awake
2025-08-08 18:00:32,already_awake,already_awake
2025-08-09 06:37:47,already_awake,already_awake
2025-08-09 17:56:24,already_awake,already_awake
2025-08-10 06:47:36,already_awake,already_awake
2025-08-10 17:57:17,clicked,clicked
2025-08-11 06:44:22,already_awake,already_awake
2025-08-11 18:00:35,already_awake,clicked
2025-08-12 06:36:45,already_awake,already_awake
2025-08-12 17:58:31,already_awake,already_awake
2025-08-13 06:38:38,already_awake,clicked
2025-08-13 17:58:58,already_awake,already_awake
2025-08-14 06:39:07,already_awake,clicked
2025-08-14 17:59:31,already_awake,already_awake
2025-08-15 06:39:18,already_awake,already_awake
2025-08-15 17:57:20,already_awake,already_awake
2025-08-16 06:35:36,already_awake,already_awake
2025-08-16 17:55:28,already_awake,already_awake
2025-08-17 06:43:39,already_awake,already_awake
2025-08-17 17:56:03,already_awake,already_awake
2025-08-18 06:42:59,already_awake,already_awake
2025-08-18 17:59:30,already_awake,already_awake
2025-08-19 06:35:55,already_awake,already_awake
2025-08-19 17:57:45,already_awake,already_awake
2025-08-20 06:33:37,already_awake,already_awake
2025-08-20 17:57:24,already_awake,already_awake
2025-08-21 06:32:58,already_awake,already_awake
2025-08-21 17:57:29,already_awake,already_awake
2025-08-22 06:34:12,already_awake,already_awake
2025-08-22 17:56:27,already_awake,already_awake
2025-08-23 06:31:35,already_awake,already_awake
2025-08-23 17:53:57,already_awake,already_awake
2025-08-24 06:40:59,already_awake,clicked
2025-08-24 17:54:22,already_awake,already_awake
2025-08-25 06:36:16,already_awake,already_awake
2025-08-26 06:34:56,already_awake,clicked
2025-08-26 17:59:09,already_awake,already_awake
2025-08-27 06:32:38,already_awake,already_awake
2025-08-27 17:56:59,already_awake,already_awake
2025-08-28 06:31:51,already_awake,already_awake
2025-08-28 17:57:02,already_awake,already_awake
2025-08-29 06:32:00,already_awake,already_awake
2025-08-29 17:56:26,already_awake,already_awake
2025-08-30 06:29:02,already_awake,already_awake
2025-08-30 17:53:17,already_awake,already_awake
2025-08-31 06:36:17,already_awake,already_awake
2025-08-31 17:53:52,already_awake,already_awake
2025-09-01 06:42:44,already_awake,already_awake
2025-09-01 17:57:36,already_awake,already_awake
2025-09-02 06:32:58,already_awake,already_awake
2025-09-02 17:57:22,already_awake,already_awake
2025-09-03 06:29:07,already_awake,already_awake
2025-09-03 17:56:09,already_awake,already_awake
2025-09-04 06:29:07,already_awake,already_awake
2025-09-04 17:56:51,already_awake,already_awake
2025-09-05 06:30:27,already_awake,already_awake
2025-09-05 17:55:20,already_awake,already_awake
2025-09-06 06:29:03,already_awake,already_awake
2025-09-06 17:52:18,already_awake,already_awake
2025-09-07 06:35:12,already_awake,already_awake
2025-09-07 17:52:55,already_awake,already_awake
2025-09-08 06:34:07,already_awake,already_awake
2025-09-08 17:58:05,already_awake,already_awake
2025-09-09 06:31:45,already_awake,already_awake
2025-09-09 17:58:18,already_awake,already_awake
2025-09-10 06:29:51,already_awake,already_awake
2025-09-10 17:55:50,already_awake,already_awake
2025-09-11 06:31:10,already_awake,already_awake
2025-09-11 17:55:36,already_awake,already_awake
2025-09-12 06:28:53,already_awake,already_awake
2025-09-12 17:56:04,already_awake,already_awake
2025-09-13 06:26:37,already_awake,already_awake
2025-09-13 17:52:29,already_awake,already_awake
2025-09-14 06:34:52,already_awake,already_awake
2025-09-14 17:52:27,already_awake,already_awake
2025-09-15 06:34:59,already_awake,clicked
2025-09-15 17:56:57,already_awake,already_awake
2025-09-16 06:29:57,already_awake,already_awake
2025-09-16 17:56:38,already_awake,already_awake
2025-09-17 06:29:53,already_awake,already_awake
2025-09-17 17:56:43,already_awake,already_awake
2025-09-18 06:29:27,already_awake,already_awake
2025-09-18 17:56:02,already_awake,already_awake
2025-09-19 06:31:44,already_awake,already_awake
2025-09-19 17:56:56,already_awake,already_awake
2025-09-20 06:28:27,already_awake,already_awake
2025-09-20 17:53:44,already_awake,already_awake
2025-09-21 06:36:11,already_awake,clicked
2025-09-21 17:53:34,already_awake,already_awake
2025-09-22 06:36:18,already_awake,already_awake
2025-09-22 17:57:19,already_awake,already_awake
2025-09-23 06:29:43,already_awake,already_awake
2025-09-23 17:56:55,already_awake,already_awake
2025-09-24 06:30:57,already_awake,already_awake
2025-09-24 17:57:14,already_awake,already_awake
2025-09-25 06:31:20,already_awake,already_awake
2025-09-25 17:58:16,already_awake,already_awake
2025-09-26 06:30:47,already_awake,already_awake
2025-09-26 17:56:54,already_awake,already_awake
2025-09-27 06:28:33,already_awake,already_awake
2025-09-27 17:52:55,already_awake,already_awake
2025-09-28 06:37:24,already_awake,already_awake
2025-09-28 17:53:26,already_awake,already_awake
2025-09-29 06:32:50,already_awake,already_awake
2025-09-29 17:57:39,already_awake,already_awake
2025-09-30 06:31:43,already_awake,already_awake
2025-09-30 17:58:03,already_awake,already_awake
2025-10-01 06:38:11,already_awake,already_awake
2025-10-01 17:58:37,already_awake,already_awake
2025-10-02 06:29:48,already_awake,already_awake
2025-10-02 17:55:35,already_awake,already_awake
2025-10-03 06:29:48,already_awake,already_awake
2025-10-03 17:56:24,already_awake,already_awake
2025-10-04 06:27:35,already_awake,already_awake
2025-10-04 17:52:43,already_awake,already_awake
2025-10-05 06:36:23,already_awake,already_awake
2025-10-05 17:53:38,already_awake,already_awake
2025-10-06 06:31:33,already_awake,already_awake
2025-10-06 17:57:34,already_awake,already_awake
2025-10-07 06:30:33,already_awake,already_awake
2025-10-07 17:57:46,already_awake,already_awake
2025-10-08 06:30:17,already_awake,already_awake
2025-10-08 17:57:57,already_awake,already_awake
2025-10-09 06:31:11,already_awake,already_awake
2025-10-09 17:57:26,already_awake,already_awake
2025-10-10 06:30:42,already_awake,already_awake
2025-10-10 17:57:18,already_awake,already_awake
2025-10-11 06:28:25,already_awake,already_awake
2025-10-11 17:53:13,already_awake,already_awake
2025-10-12 06:33:54,already_awake,already_awake
2025-10-12 17:53:47,already_awake,already_awake
2025-10-13 06:35:39,already_awake,already_awake
2025-10-13 17:57:44,already_awake,already_awake
2025-10-14 06:31:22,already_awake,already_awake
